run_id,transmissionProbability,meanTimeToRecover,meanImmunityDuration
0,1.2218833145948191,0.462240122094821,0.3038002905984488
1,1.0994699042441836,0.7990337096299938,0.30039950817192446
2,1.3740528186425345,0.7596539778042565,0.4060634219076517
3,0.9827902014883266,0.5132829509030395,0.20421688649229042
4,1.1534233048326166,0.5334360633028945,0.20081554709109573
5,1.4573992493343524,0.7327847100416661,0.28082236440609465
6,0.8706472217963894,0.6682207810583849,0.5424230368377116
7,0.8196769581941414,0.5598791825213301,0.45081605814816045
8,1.1742502617382073,0.7201989222742444,0.35939300998135615
9,1.263024822844073,0.3417678160154296,0.5395012170287812
10,0.8808060124720765,0.310773130771914,0.34496837829230786
11,1.2430051490983294,0.7939675797504818,0.5467211774097076
12,0.8213200322100813,0.3785960857833738,0.302498462220909
13,0.9227856307359618,0.6215448151442979,0.4377685062891915
14,1.033636533557381,0.3876280812725021,0.219784489022828
15,1.1240694772152122,0.5143166641669549,0.36831363744682005
16,0.9430672534153186,0.41934810047211535,0.2564427903731499
17,0.8103384477691299,0.7360523454880963,0.2723431807174744
18,0.8097153958020502,0.6539925153020578,0.5728437951875764
19,1.3983829793162148,0.43622136781316884,0.5130953587996936
20,1.199252198215953,0.5340963398719268,0.26709081816385155
21,0.9328774460373838,0.789510193047867,0.22670961663856973
22,1.0921324712438019,0.7567197758122834,0.5340738192113341
23,0.8489462209129938,0.6580601211301547,0.23849334307779324
24,1.1483941530713173,0.4198765003831984,0.3722728803668895
25,1.1580408510117526,0.4321432367546417,0.525899991277083
26,1.379076564497138,0.4763811024865304,0.44697315247435626
27,1.1367119716623115,0.5703700798835756,0.5002216926187226
28,0.8413257191129457,0.6635521099843282,0.4467574991873554
29,0.8495534200593007,0.6181567024214893,0.40756668459648937
30,0.9355515125312812,0.36645941543557226,0.4877834108794445
31,1.473044117210212,0.7559274869368159,0.2536675150661456
32,1.3132294312456014,0.3005065268923967,0.4951247747261172
33,0.9481975804678944,0.6929466950783552,0.2549373566843777
34,0.8101001423004718,0.43249397782649257,0.32318471941294463
35,1.1900053180686998,0.6282159072032539,0.3838570684423372
36,1.133466007411715,0.6104937355015359,0.5437827812723244
