run_id,t,S,I,R
0,0,0.7882712630160549,0.39394975834360735,0.28048530256362325
0,0,1.0439010337921641,0.38666610175096566,0.27368734437437375
0,0,1.3703682265532016,0.39534343910975067,0.26706318114412003
0,0,1.7743378865482653,0.4254441152730275,0.26104584538427184
0,1,2.25198694990688,0.4870024712226727,0.2562063132238535
0,1,2.77976713547575,0.5981832738416559,0.2533978129395878
0,1,3.3025306290071126,0.7910355351524305,0.2540369665588427
0,2,3.7224447210736624,1.1179437723396901,0.2606560762274537
0,2,3.9012948545419586,1.6480854839915005,0.27795249643347636
0,2,3.7071571298433215,2.4241032386650065,0.3145733602086472
0,3,3.127861342571028,3.3600881063564363,0.3854434164928439
0,3,2.3513166421020415,4.189681041153873,0.5131092272602171
0,3,1.6399414198163775,4.629546403393663,0.7248886182096776
0,3,1.1310881193111895,4.587663220034003,1.0426601407179485
0,4,0.8197506435032671,4.155647785984999,1.4660752863723332
0,4,0.6507964384180113,3.4948083933619336,1.9587810810221076
0,4,0.5765924594266123,2.763958980349428,2.4535485421556458
0,5,0.5691812434188825,2.084852770734782,2.8799327524975875
0,5,0.6165009240837458,1.5250995863336028,3.193897413228971
0,5,0.7172361599975094,1.1017386724244758,3.3869771396434025
0,6,0.8773703917486877,0.8002779299513946,3.4756482411567755
0,6,1.1080057338064604,0.5946463428058537,3.485885742950958
0,6,1.4234228362658912,0.45957779418546346,3.4428877898978443
0,6,1.838356759386778,0.37563214616514773,3.367060682031257
0,7,2.363590338467144,0.3302100523393615,3.2737775594613163
0,7,2.999342107006245,0.3174016034165304,3.174705008475284
0,7,3.726720649379905,0.3384209574640719,3.079659692526551
0,8,4.498479022425262,0.40387155450921425,2.998876232109401
0,8,5.230613761000715,0.5388941266003568,2.9462346493511267
0,8,5.796405563681501,0.7902247759408695,2.9446106500350697
0,9,6.031545994553378,1.2230226459394336,3.034679314716594
0,9,5.786911792083455,1.8662395217637182,3.2853841329801723
0,9,5.07422600362633,2.573168368468856,3.790539506280458
0,9,4.1769598660510505,2.9758964249505344,4.614372081046477
0,10,3.4596396289583273,2.8128431542578514,5.681734537941921
0,10,3.092064543525678,2.234176972704441,6.746806973802503
0,10,3.059841437528871,1.5852160301248799,7.5575797209898585
0,11,3.296076473868544,1.0778724192386706,8.024661917397474
0,11,3.7409183536824537,0.7473376170718026,8.202718558337097
0,11,4.343919930344776,0.5537958398657298,8.189923996972633
0,12,5.05323783152096,0.4526849157209706,8.070387647377615
0,12,5.808283150558148,0.41535612947415573,7.903780120020275
0,12,6.538782611737157,0.42940914827437393,7.732720414665612
0,12,7.16850395778666,0.4952951444604922,7.592637819814963
0,13,7.620928182356642,0.6224402062162451,7.52027045361862
0,13,7.827994199859325,0.8208984749482352,7.559628383171437
